TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-06 10:46:13","Cab in white conveyer",CJQ075,"CIW upload"
"2017-03-06 10:46:26","Cab in white conveyer",LOF143,"CIW upload"
"2017-03-06 10:49:40","Cab call scan",PEK163,"A Line"
"2017-03-06 10:52:49",U-BOLT,MQH836,"Front U-Bolt"
"2017-03-06 10:53:31","OMT Offline Tracking",XYI250,"Enter Offline"
"2017-03-06 10:55:51","Assembly Line Tracker",YTP390,"Pool 13 Start"
"2017-03-06 10:55:52","Assembly Line Tracker",GYI954,"Pool 13 Start"
"2017-03-06 10:57:13","STVMS Tracking Chassis Start",XPR275,"Chassis Start"
"2017-03-06 10:58:06","Cab Call Scan",ELI075,"B Line"
"2017-03-06 11:01:21",U-BOLT,MRI015,"Front U-Bolt"
"2017-03-06 11:16:16","Cab Conveyer",EQK798,"Cab Upload 2"
"2017-03-06 11:16:16","Cab Conveyor / Monorail",EQK798,"Cab Upload"
"2017-03-06 11:16:44","Cab in white conveyer",RQJ940,"CIW upload"
"2017-03-06 11:21:39","Paint Inspection",AMZ845,PAINT
"2017-03-06 11:22:57","Hood Conveyor",IXM739,"Hood Upload"
"2017-03-06 11:23:12","Cab in white conveyer",JCM567,"CIW upload"
"2017-03-06 11:27:06","Cab Conveyer",DFZ024,"Cab Upload 2"
"2017-03-06 11:27:06","Cab Conveyor / Monorail",DFZ024,"Cab Upload"
"2017-03-06 11:28:21","Cab Conveyer",GDU671,"Cab Upload 2"
"2017-03-06 11:28:21","Cab Conveyor / Monorail",GDU671,"Cab Upload"
"2017-03-06 11:29:28","Cab in white conveyer",GFM783,"CIW upload"
"2017-03-06 11:30:09","Hood Conveyor",EJO928,"Hood Upload"
"2017-03-06 11:30:50","Paint Inspection",HQD748,PAINT
"2017-03-06 11:34:15","Cab Conveyer",TGS974,"Cab Upload 2"
"2017-03-06 11:34:15","Cab Conveyor / Monorail",TGS974,"Cab Upload"
"2017-03-06 11:34:42","Cab in white conveyer",EUZ386,"CIW upload"
"2017-03-06 11:35:42","OMT Offline Tracking",JDY852,"Enter Offline"
"2017-03-06 11:36:06","Hood Conveyor",HMJ710,"Hood Upload"
"2017-03-06 11:37:42","Cab call scan",CXD285,"A Line"
"2017-03-06 11:38:41","Paint Inspection",VQD376,PAINT
"2017-03-06 11:40:15","Cab in white conveyer",TMZ629,"CIW upload"
"2017-03-06 11:40:19",U-BOLT,HRY673,"Front U-Bolt"
"2017-03-06 11:42:23","OMT Offline Tracking",UYZ958,"Enter Offline"
"2017-03-06 11:43:48","Paint Inspection",ZHB578,PAINT
"2017-03-06 11:44:32","STVMS Tracking Chassis Start",EUL768,"Chassis Start"
"2017-03-06 11:44:36","STVMS Tracking Chassis Start",GYI954,"Chassis Start"
"2017-03-06 11:44:40","STVMS Tracking Chassis Start",YTP390,"Chassis Start"
"2017-03-06 11:46:00",U-BOLT,AKC912,"Front U-Bolt"
"2017-03-06 11:46:29","Cab Call Scan",SYB619,"B Line"
"2017-03-06 11:46:50","Hood Conveyor",MVW427,"Hood Upload"
"2017-03-06 11:47:53","OMT Offline Tracking",BHK490,"Enter Offline"
"2017-03-06 11:50:00","STVMS Tracking Chassis Start",WXK853,"Chassis Start"
"2017-03-06 11:50:26","Cab call scan",CVE258,"A Line"
"2017-03-06 11:53:46","Paint Inspection",QJP284,PAINT
"2017-03-06 11:53:55",U-BOLT,DTP539,"Front U-Bolt"
"2017-03-06 11:54:06","Cab in white conveyer",SNI285,"CIW upload"
"2017-03-06 11:54:54","Cab Conveyer",PEK163,"Cab Upload 2"
"2017-03-06 11:54:54","Cab Conveyor / Monorail",PEK163,"Cab Upload"
"2017-03-06 11:57:40","OMT Offline Tracking",PYH561,"Enter Offline"
"2017-03-06 11:58:42","Hood Conveyor",AMZ845,"Hood Upload"
"2017-03-06 11:59:21","Cab Conveyer",ELI075,"Cab Upload 2"
"2017-03-06 11:59:21","Cab Conveyor / Monorail",ELI075,"Cab Upload"
"2017-03-06 11:59:40","Cab in white conveyer",PMN417,"CIW upload"
"2017-03-06 12:00:47",U-BOLT,IQS845,"Front U-Bolt"
"2017-03-06 12:00:47","OMT Offline Tracking",TNY179,"Enter Offline"
"2017-03-06 12:04:33","Cab Call Scan",BEM390,"B Line"
"2017-03-06 12:04:59","Cab in white conveyer",ZDI213,"CIW upload"
"2017-03-06 12:07:28","Hood Conveyor",HQD748,"Hood Upload"
"2017-03-06 12:07:53","Cab call scan",ETO603,"A Line"
"2017-03-06 12:08:21",U-BOLT,ZYA587,"Front U-Bolt"
"2017-03-06 12:08:52","Cab Conveyer",CXD285,"Cab Upload 2"
"2017-03-06 12:08:52","Cab Conveyor / Monorail",CXD285,"Cab Upload"
"2017-03-06 12:09:44","Hood Conveyor",QJP284,"Hood Upload"
"2017-03-06 12:12:10","STVMS Tracking Chassis Start",SOU593,"Chassis Start"
"2017-03-06 12:12:13","STVMS Tracking Chassis Start",IXM739,"Chassis Start"
"2017-03-06 12:12:15","STVMS Tracking Chassis Start",EJO928,"Chassis Start"
"2017-03-06 12:12:55","Cab in white conveyer",ALE837,"CIW upload"
"2017-03-06 12:13:57","Cab Call Scan",RCF947,"B Line"
"2017-03-06 12:15:23","OMT Offline Tracking",LWK693,"Enter Offline"
"2017-03-06 12:15:38","Paint Inspection",PGY640,PAINT
"2017-03-06 12:15:38",U-BOLT,IBA235,"Front U-Bolt"
