TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-09 04:47:09","Paint Inspection",YWI795,PAINT
"2017-03-09 04:49:54","Cab in white conveyer",LCQ598,"CIW upload"
"2017-03-09 04:56:20","Cab in white conveyer",HOJ276,"CIW upload"
"2017-03-09 05:01:19","Cab in white conveyer",KIA624,"CIW upload"
"2017-03-09 05:01:49","Paint Inspection",GJK683,PAINT
"2017-03-09 05:03:51","Paint Inspection",EVB234,PAINT
"2017-03-09 05:09:14","Cab in white conveyer",YHP863,"CIW upload"
"2017-03-09 05:14:25","Cab in white conveyer",SEU602,"CIW upload"
"2017-03-09 05:20:15","Paint Inspection",YCU023,PAINT
"2017-03-09 05:20:16","Cab in white conveyer",EZV240,"CIW upload"
"2017-03-09 05:25:48","Cab in white conveyer",HTV792,"CIW upload"
"2017-03-09 05:26:00","Paint Inspection",ADQ781,PAINT
"2017-03-09 05:31:43","Paint Inspection",QLV652,PAINT
"2017-03-09 05:32:33","Cab in white conveyer",MGR987,"CIW upload"
"2017-03-09 05:37:29","Cab in white conveyer",HXT823,"CIW upload"
"2017-03-09 05:37:45","Paint Inspection",RBT219,PAINT
"2017-03-09 05:39:03","Paint Inspection",EQD264,PAINT
"2017-03-09 05:42:51","Cab in white conveyer",SNU912,"CIW upload"
"2017-03-09 05:43:30","Paint Inspection",YXF326,PAINT
"2017-03-09 05:48:31","Cab in white conveyer",CFO213,"CIW upload"
"2017-03-09 05:55:58","Paint Inspection",HMS840,PAINT
"2017-03-09 05:59:27","Cab in white conveyer",XET976,"CIW upload"
"2017-03-09 06:36:36","Cab Call Scan",UWT728,"B Line"
"2017-03-09 06:39:31","OMT Offline Tracking",TEP325,"Enter Offline"
"2017-03-09 06:41:15","Cab in white conveyer",TXR569,"CIW upload"
"2017-03-09 06:42:23","Paint Inspection",IXT460,PAINT
"2017-03-09 06:44:27","OMT Offline Tracking",TRL028,"Enter Offline"
"2017-03-09 06:45:50","Assembly Line Tracker",KFN372,"Pool 13 Start"
"2017-03-09 06:45:50","Assembly Line Tracker",AHN391,"Pool 13 Start"
"2017-03-09 06:46:54","Hood Conveyor",AGU058,"Hood Upload"
"2017-03-09 06:47:47","Cab call scan",ICB356,"A Line"
"2017-03-09 06:48:45","Cab Conveyer",LED479,"Cab Upload 2"
"2017-03-09 06:48:45","Cab Conveyor / Monorail",LED479,"Cab Upload"
"2017-03-09 06:50:13","STVMS Tracking Chassis Start",MPO083,"Chassis Start"
"2017-03-09 06:50:13","Hood Conveyor",QZH295,"Hood Upload"
"2017-03-09 06:50:51","Assembly Line Tracker",DPH631,"Pool 13 Start"
"2017-03-09 06:51:23",U-BOLT,LGO801,"Front U-Bolt"
"2017-03-09 06:52:54","Cab in white conveyer",ORS751,"CIW upload"
"2017-03-09 06:52:55","OMT Offline Tracking",NKE126,"Enter Offline"
"2017-03-09 06:52:55","OMT Offline Tracking",NKE126,Sold
"2017-03-09 06:54:21","Hood Conveyor",SEK173,"Hood Upload"
"2017-03-09 06:54:45","OMT Offline Tracking",FMU279,"Enter Offline"
"2017-03-09 06:55:14","Cab Conveyer",QBR938,"Cab Upload 2"
"2017-03-09 06:55:14","Cab Conveyor / Monorail",QBR938,"Cab Upload"
"2017-03-09 06:56:37","STVMS Tracking Chassis Start",LER634,"Chassis Start"
"2017-03-09 06:57:18","Cab Conveyer",YBJ023,"Cab Upload 2"
"2017-03-09 06:57:18","Cab Conveyor / Monorail",YBJ023,"Cab Upload"
"2017-03-09 06:58:49",U-BOLT,FTI824,"Front U-Bolt"
"2017-03-09 06:59:21","Paint Inspection",DJZ516,PAINT
"2017-03-09 07:00:25","Cab in white conveyer",BYF840,"CIW upload"
"2017-03-09 07:00:49","Hood Conveyor",TRJ645,"Hood Upload"
"2017-03-09 07:01:28",U-BOLT,FTI824,"Rear U-Bolt"
"2017-03-09 07:02:45","Cab Call Scan",JBC439,"B Line"
"2017-03-09 07:04:00","OMT Offline Tracking",QMA357,"Enter Offline"
"2017-03-09 07:04:14","Hood Conveyor",CSV482,"Hood Upload"
"2017-03-09 07:04:43","Cab in white conveyer",ZJC386,"CIW upload"
"2017-03-09 07:05:22","OMT Offline Tracking",ERC382,"Enter Offline"
"2017-03-09 07:05:51","Assembly Line Tracker",LER634,"Pool 13 Start"
"2017-03-09 07:05:51","Assembly Line Tracker",MPO083,"Pool 13 Start"
"2017-03-09 07:07:02","Cab call scan",MPE786,"A Line"
"2017-03-09 07:07:13",U-BOLT,VCM016,"Front U-Bolt"
"2017-03-09 07:08:35","Hood Conveyor",NHZ581,"Hood Upload"
"2017-03-09 07:10:08","Cab Conveyer",UWT728,"Cab Upload 2"
"2017-03-09 07:10:08","Cab Conveyor / Monorail",UWT728,"Cab Upload"
"2017-03-09 07:10:50","Assembly Line Tracker",SPI314,"Pool 13 Start"
"2017-03-09 07:11:38","Cab in white conveyer",EVZ013,"CIW upload"
"2017-03-09 07:11:54","STVMS Tracking Chassis Start",SPI314,"Chassis Start"
"2017-03-09 07:11:57","STVMS Tracking Chassis Start",AGU058,"Chassis Start"
"2017-03-09 07:12:00","STVMS Tracking Chassis Start",QZH295,"Chassis Start"
"2017-03-09 07:12:59",U-BOLT,VCM016,"Rear U-Bolt"
"2017-03-09 07:13:57","Cab Conveyer",DPL397,"Cab Upload 2"
"2017-03-09 07:13:57","Cab Conveyor / Monorail",DPL397,"Cab Upload"
"2017-03-09 07:14:18",U-BOLT,PJL425,"Front U-Bolt"
"2017-03-09 07:15:50","Paint Inspection",SPF970,PAINT
"2017-03-09 07:16:22","Hood Conveyor",YZU059,"Hood Upload"
"2017-03-09 07:17:02","Cab Conveyer",ICB356,"Cab Upload 2"
"2017-03-09 07:17:02","Cab Conveyor / Monorail",ICB356,"Cab Upload"
"2017-03-09 07:17:32","Cab in white conveyer",ZJK473,"CIW upload"
"2017-03-09 07:19:34","Cab Call Scan",GSF615,"B Line"
"2017-03-09 07:19:59",U-BOLT,PJL425,"Rear U-Bolt"
"2017-03-09 07:20:15","Hood Conveyor",FZA809,"Hood Upload"
"2017-03-09 07:20:50","Assembly Line Tracker",AGU058,"Pool 13 Start"
"2017-03-09 07:21:15","OMT Offline Tracking",GQV369,"Enter Offline"
"2017-03-09 07:22:50",U-BOLT,CMI143,"Front U-Bolt"
"2017-03-09 07:23:21","Paint Inspection",JYZ708,PAINT
"2017-03-09 07:23:24","Cab in white conveyer",QTI468,"CIW upload"
"2017-03-09 07:25:37","Hood Conveyor",APZ612,"Hood Upload"
"2017-03-09 07:27:27","OMT Offline Tracking",QZB271,"Enter Offline"
"2017-03-09 07:27:43",U-BOLT,IOU412,"Front U-Bolt"
"2017-03-09 07:28:20","Cab call scan",OWH831,"A Line"
"2017-03-09 07:29:17","STVMS Tracking Chassis Start",SEK173,"Chassis Start"
"2017-03-09 07:29:20","STVMS Tracking Chassis Start",TRJ645,"Chassis Start"
"2017-03-09 07:29:21","Cab Call Scan",SYA283,"B Line"
"2017-03-09 07:30:40","Hood Conveyor",YWI795,"Hood Upload"
"2017-03-09 07:30:45","Cab in white conveyer",MBG962,"CIW upload"
"2017-03-09 07:30:53","Assembly Line Tracker",QZH295,"Pool 13 Start"
"2017-03-09 07:33:09","Cab Conveyer",MPE786,"Cab Upload 2"
"2017-03-09 07:33:09","Cab Conveyor / Monorail",MPE786,"Cab Upload"
"2017-03-09 07:33:26",U-BOLT,IOU412,"Rear U-Bolt"
"2017-03-09 07:35:56","STVMS Tracking Chassis Start",CSV482,"Chassis Start"
"2017-03-09 07:36:18","OMT Offline Tracking",RHX208,"Enter Offline"
"2017-03-09 07:36:18","OMT Offline Tracking",RHX208,Sold
"2017-03-09 07:36:22","Cab in white conveyer",DKE275,"CIW upload"
"2017-03-09 07:36:31","OMT Offline Tracking",YGL283,"Enter Offline"
"2017-03-09 07:36:41",U-BOLT,FHU982,"Front U-Bolt"
"2017-03-09 07:37:08","Hood Conveyor",EVB234,"Hood Upload"
"2017-03-09 07:39:34","Cab Conveyer",JBC439,"Cab Upload 2"
"2017-03-09 07:39:34","Cab Conveyor / Monorail",JBC439,"Cab Upload"
"2017-03-09 07:40:33",U-BOLT,FHU982,"Rear U-Bolt"
"2017-03-09 07:41:26","Cab in white conveyer",WQS294,"CIW upload"
"2017-03-09 07:41:43","Cab Call Scan",JKZ317,"B Line"
"2017-03-09 07:44:28","STVMS Tracking Chassis Start",NHZ581,"Chassis Start"
"2017-03-09 07:44:45","OMT Offline Tracking",NUX358,"Enter Offline"
"2017-03-09 07:44:56",U-BOLT,YCR723,"Front U-Bolt"
"2017-03-09 07:45:51","Assembly Line Tracker",SEK173,"Pool 13 Start"
"2017-03-09 07:47:37","Cab Conveyer",GSF615,"Cab Upload 2"
"2017-03-09 07:47:37","Cab Conveyor / Monorail",GSF615,"Cab Upload"
"2017-03-09 07:48:04","OMT Offline Tracking",WRT608,"Enter Offline"
"2017-03-09 07:48:40","Hood Conveyor",QRM025,"Hood Upload"
"2017-03-09 07:49:21","Cab in white conveyer",MUJ483,"CIW upload"
"2017-03-09 07:49:32","Paint Inspection",VFX591,PAINT
"2017-03-09 07:49:52",U-BOLT,YCR723,"Rear U-Bolt"
"2017-03-09 07:51:41","Hood Conveyor",YCU023,"Hood Upload"
"2017-03-09 07:53:39",U-BOLT,EBL860,"Front U-Bolt"
"2017-03-09 07:53:50","Cab call scan",QPC953,"A Line"
"2017-03-09 07:53:59","Cab in white conveyer",LES327,"CIW upload"
"2017-03-09 07:54:58","Cab Conveyer",OWH831,"Cab Upload 2"
"2017-03-09 07:54:58","Cab Conveyor / Monorail",OWH831,"Cab Upload"
"2017-03-09 07:56:42","Hood Conveyor",QLV652,"Hood Upload"
"2017-03-09 07:57:11","Cab Call Scan",ZKY831,"B Line"
"2017-03-09 07:57:28","STVMS Tracking Chassis Start",YZU059,"Chassis Start"
"2017-03-09 07:57:32","STVMS Tracking Chassis Start",FZA809,"Chassis Start"
"2017-03-09 07:59:38",U-BOLT,AHN391,"Front U-Bolt"
"2017-03-09 08:00:44","Hood Conveyor",ADQ781,"Hood Upload"
"2017-03-09 08:00:54","OMT Offline Tracking",BIP389,"Enter Offline"
"2017-03-09 08:00:54","OMT Offline Tracking",BIP389,Sold
"2017-03-09 08:01:41","Cab in white conveyer",RUK258,"CIW upload"
"2017-03-09 08:03:17","Cab Conveyer",SYA283,"Cab Upload 2"
"2017-03-09 08:03:17","Cab Conveyor / Monorail",SYA283,"Cab Upload"
"2017-03-09 08:04:34",U-BOLT,AHN391,"Rear U-Bolt"
"2017-03-09 08:05:50","Assembly Line Tracker",CSV482,"Pool 13 Start"
"2017-03-09 08:05:51","Assembly Line Tracker",TRJ645,"Pool 13 Start"
"2017-03-09 08:07:09",U-BOLT,KFN372,"Front U-Bolt"
"2017-03-09 08:07:24","Hood Conveyor",EQD264,"Hood Upload"
"2017-03-09 08:07:55","Cab call scan",PVZ436,"A Line"
"2017-03-09 08:11:50","Paint Inspection",OQS570,PAINT
"2017-03-09 08:11:55","Cab Call Scan",KNR831,"B Line"
"2017-03-09 08:12:04","OMT Offline Tracking",GDR742,"Enter Offline"
"2017-03-09 08:13:29",U-BOLT,KFN372,"Rear U-Bolt"
"2017-03-09 08:13:57",U-BOLT,DPH631,"Front U-Bolt"
