TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 08:25:51.056956,Paint Inspection,YGL283,PAINT
2017-03-06 08:25:51.427000,Assembly Line Tracker,TPD286,Pool 13 Start
2017-03-06 08:25:52.000000,U-BOLT,EQK798,Front U-Bolt
2017-03-06 08:26:46.733000,Cab Call Scan,EPB160,B Line
2017-03-06 08:27:36.487000,OMT Offline Tracking,QMF308,Enter Offline
2017-03-06 08:28:03.314604,Paint Inspection,AKC912,PAINT
2017-03-06 08:30:43.000000,STVMS Tracking Chassis Start,RCF947,Chassis Start
2017-03-06 08:30:46.000000,STVMS Tracking Chassis Start,ALP937,Chassis Start
2017-03-06 08:30:49.000000,STVMS Tracking Chassis Start,CSD174,Chassis Start
2017-03-06 08:30:52.180000,Assembly Line Tracker,TQL981,Pool 13 Start
2017-03-06 08:30:53.000000,STVMS Tracking Chassis Start,TPD286,Chassis Start
2017-03-06 08:30:58.000000,STVMS Tracking Chassis Start,JYI091,Chassis Start
2017-03-06 08:31:09.840000,Hood Conveyor,YDL247,Hood Upload
2017-03-06 08:31:21.000000,U-BOLT,TGS974,Front U-Bolt
