TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-10 06:27:31","Cab Conveyer",RBT219,"Cab Upload 2"
"2017-03-10 06:27:31","Cab Conveyor / Monorail",RBT219,"Cab Upload"
"2017-03-10 06:38:22","Cab call scan",JYZ708,"A Line"
"2017-03-10 06:39:22","OMT Offline Tracking",SPI314,"Enter Offline"
"2017-03-10 06:41:18","Paint Inspection",JCV863,PAINT
"2017-03-10 06:41:24","Cab Call Scan",KLN307,"B Line"
"2017-03-10 06:44:24","Cab Conveyer",IXT460,"Cab Upload 2"
"2017-03-10 06:44:24","Cab Conveyor / Monorail",IXT460,"Cab Upload"
"2017-03-10 06:45:35","Cab in white conveyer",WTZ176,"CIW upload"
"2017-03-10 06:47:07","Hood Conveyor",XPQ906,"Hood Upload"
"2017-03-10 06:48:16","Cab Conveyer",YKN950,"Cab Upload 2"
"2017-03-10 06:48:16","Cab Conveyor / Monorail",YKN950,"Cab Upload"
"2017-03-10 06:48:19","Paint Inspection",CNE620,PAINT
"2017-03-10 06:49:50","Hood Conveyor",FWS327,"Hood Upload"
"2017-03-10 06:50:29","Paint Inspection",DAJ581,PAINT
"2017-03-10 06:52:40","OMT Offline Tracking",LER634,"Enter Offline"
"2017-03-10 06:53:55","Paint Inspection",CRN086,PAINT
"2017-03-10 06:54:01","OMT Offline Tracking",SEK173,"Enter Offline"
"2017-03-10 06:54:01","OMT Offline Tracking",SEK173,Sold
"2017-03-10 06:54:13","Paint Inspection",PVO367,PAINT
"2017-03-10 06:54:19","STVMS Tracking Chassis Start",ATG468,"Chassis Start"
"2017-03-10 06:54:21","STVMS Tracking Chassis Start",GZC132,"Chassis Start"
"2017-03-10 06:54:32","Cab call scan",VFX591,"A Line"
"2017-03-10 06:55:12","Hood Conveyor",UXJ427,"Hood Upload"
"2017-03-10 06:58:31","Cab Conveyer",DJZ516,"Cab Upload 2"
"2017-03-10 06:58:31","Cab Conveyor / Monorail",DJZ516,"Cab Upload"
"2017-03-10 06:58:36","Paint Inspection",DRY562,PAINT
"2017-03-10 06:59:39","OMT Offline Tracking",AGU058,"Enter Offline"
"2017-03-10 07:00:09",U-BOLT,JIN079,"Rear U-Bolt"
"2017-03-10 07:00:19","Cab in white conveyer",DMV430,"CIW upload"
"2017-03-10 07:00:59","Paint Inspection",MTV391,PAINT
"2017-03-10 07:01:56",U-BOLT,JIN079,"Front U-Bolt"
"2017-03-10 07:04:53","Hood Conveyor",CNE620,"Hood Upload"
"2017-03-10 07:07:19","Cab Conveyer",SPF970,"Cab Upload 2"
"2017-03-10 07:07:19","Cab Conveyor / Monorail",SPF970,"Cab Upload"
"2017-03-10 07:07:29","Cab Call Scan",DPA037,"B Line"
"2017-03-10 07:08:41","OMT Offline Tracking",TRJ645,"Enter Offline"
"2017-03-10 07:08:49","STVMS Tracking Chassis Start",XPQ906,"Chassis Start"
"2017-03-10 07:08:52","STVMS Tracking Chassis Start",FWS327,"Chassis Start"
"2017-03-10 07:09:12",U-BOLT,HCS198,"Front U-Bolt"
"2017-03-10 07:10:02","Cab call scan",EPR018,"A Line"
"2017-03-10 07:11:59","OMT Offline Tracking",QZH295,"Enter Offline"
"2017-03-10 07:11:59","OMT Offline Tracking",QZH295,Sold
"2017-03-10 07:12:14","Cab Conveyer",JYZ708,"Cab Upload 2"
"2017-03-10 07:12:14","Cab Conveyor / Monorail",JYZ708,"Cab Upload"
"2017-03-10 07:14:44","Paint Inspection",NTD012,PAINT
"2017-03-10 07:17:16","Cab in white conveyer",VFA941,"CIW upload"
"2017-03-10 07:17:44",U-BOLT,TMU402,"Front U-Bolt"
"2017-03-10 07:20:09","STVMS Tracking Chassis Start",UXJ427,"Chassis Start"
"2017-03-10 07:20:30","Cab Conveyer",KLN307,"Cab Upload 2"
"2017-03-10 07:20:30","Cab Conveyor / Monorail",KLN307,"Cab Upload"
"2017-03-10 07:20:39","OMT Offline Tracking",NHZ581,"Enter Offline"
"2017-03-10 07:21:43","Paint Inspection",IVC016,PAINT
"2017-03-10 07:22:47","Hood Conveyor",DAJ581,"Hood Upload"
"2017-03-10 07:23:25","Cab Conveyer",VFX591,"Cab Upload 2"
"2017-03-10 07:23:25","Cab Conveyor / Monorail",VFX591,"Cab Upload"
"2017-03-10 07:23:30","Cab in white conveyer",RSB867,"CIW upload"
"2017-03-10 07:25:33","Cab call scan",FTI653,"A Line"
"2017-03-10 07:27:27","Cab Conveyer",EPR018,"Cab Upload 2"
"2017-03-10 07:27:27","Cab Conveyor / Monorail",EPR018,"Cab Upload"
"2017-03-10 07:28:14","OMT Offline Tracking",CSV482,"Enter Offline"
"2017-03-10 07:29:13","Cab Call Scan",OQS570,"B Line"
"2017-03-10 07:30:02","Hood Conveyor",MTV391,"Hood Upload"
"2017-03-10 07:30:12","Cab in white conveyer",ZHI138,"CIW upload"
"2017-03-10 07:30:23","OMT Offline Tracking",FZA809,"Enter Offline"
"2017-03-10 07:31:39","Cab Call Scan",KUR214,"B Line"
"2017-03-10 07:33:37",U-BOLT,TBP914,"Rear U-Bolt"
"2017-03-10 07:33:52",U-BOLT,EBM074,"Front U-Bolt"
"2017-03-10 07:34:14","Hood Conveyor",DUT829,"Hood Upload"
