TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-07 04:44:42","Paint Inspection",IFP328,PAINT
"2017-03-07 04:49:24","Paint Inspection",LEA891,PAINT
"2017-03-07 04:51:02","Paint Inspection",SIW958,PAINT
"2017-03-07 05:06:34","Paint Inspection",OSR174,PAINT
"2017-03-07 05:17:41","Paint Inspection",LER634,PAINT
"2017-03-07 05:21:07","STVMS Tracking Top Station",OTX594,"Top Station"
"2017-03-07 05:21:12","STVMS Tracking Top Station",LVP764,"Top Station"
"2017-03-07 05:21:17","STVMS Tracking Top Station",JBQ468,"Top Station"
"2017-03-07 05:21:21","STVMS Tracking Top Station",TPJ583,"Top Station"
"2017-03-07 05:21:25","STVMS Tracking Top Station",QVP853,"Top Station"
"2017-03-07 05:21:30","STVMS Tracking Top Station",YHB831,"Top Station"
"2017-03-07 05:21:33","STVMS Tracking Top Station",XLW275,"Top Station"
"2017-03-07 05:21:37","STVMS Tracking Top Station",WTB963,"Top Station"
"2017-03-07 05:21:41","STVMS Tracking Top Station",INW067,"Top Station"
"2017-03-07 05:21:45","STVMS Tracking Top Station",NKM173,"Top Station"
"2017-03-07 05:25:51","Assembly Line Tracker",NKM173,"Pool 60 Start"
"2017-03-07 05:25:51","Assembly Line Tracker",INW067,"Pool 60 Start"
"2017-03-07 05:25:51","Assembly Line Tracker",WTB963,"Pool 60 Start"
"2017-03-07 05:25:52","Assembly Line Tracker",XLW275,"Pool 60 Start"
"2017-03-07 05:25:52","Assembly Line Tracker",YHB831,"Pool 60 Start"
"2017-03-07 05:25:52","Assembly Line Tracker",QVP853,"Pool 60 Start"
"2017-03-07 05:25:53","Assembly Line Tracker",TPJ583,"Pool 60 Start"
"2017-03-07 05:25:53","Assembly Line Tracker",JBQ468,"Pool 60 Start"
"2017-03-07 05:25:53","Assembly Line Tracker",LVP764,"Pool 60 Start"
"2017-03-07 05:25:54","Assembly Line Tracker",OTX594,"Pool 60 Start"
"2017-03-07 05:32:38","Paint Inspection",CQU695,PAINT
"2017-03-07 05:33:15","Paint Inspection",USD901,PAINT
"2017-03-07 05:43:48","Paint Inspection",WBH162,PAINT
"2017-03-07 06:38:15","Cab Conveyer",DTP539,"Cab Upload 2"
"2017-03-07 06:38:15","Cab Conveyor / Monorail",DTP539,"Cab Upload"
"2017-03-07 06:42:59","Cab Call Scan",MBP046,"B Line"
"2017-03-07 06:43:15","OMT Offline Tracking",GDU671,"Enter Offline"
"2017-03-07 06:43:15","OMT Offline Tracking",GDU671,Sold
"2017-03-07 06:44:24","OMT Offline Tracking",TGS974,Sold
"2017-03-07 06:44:24","OMT Offline Tracking",TGS974,"Enter Offline"
"2017-03-07 06:45:50","Assembly Line Tracker",SVP127,"Pool 13 Start"
"2017-03-07 06:45:58","Cab Conveyer",IQS845,"Cab Upload 2"
"2017-03-07 06:45:58","Cab Conveyor / Monorail",IQS845,"Cab Upload"
"2017-03-07 06:46:19","STVMS Tracking Chassis Start",SVP127,"Chassis Start"
"2017-03-07 06:46:46","Hood Conveyor",ELJ539,"Hood Upload"
"2017-03-07 06:46:52","Paint Inspection",TYA561,PAINT
"2017-03-07 06:47:54","Cab call scan",FHL057,"A Line"
"2017-03-07 06:49:57","OMT Offline Tracking",PEK163,"Enter Offline"
"2017-03-07 06:50:50","Assembly Line Tracker",ELJ539,"Pool 13 Start"
"2017-03-07 06:52:09","Paint Inspection",DVM139,PAINT
"2017-03-07 06:52:12",U-BOLT,QJP284,"Front U-Bolt"
"2017-03-07 06:53:16","STVMS Tracking Chassis Start",ELJ539,"Chassis Start"
"2017-03-07 06:54:26",U-BOLT,QJP284,"Rear U-Bolt"
"2017-03-07 06:55:34","Cab Conveyer",ZYA587,"Cab Upload 2"
"2017-03-07 06:55:34","Cab Conveyor / Monorail",ZYA587,"Cab Upload"
"2017-03-07 06:55:40","Hood Conveyor",IFP328,"Hood Upload"
"2017-03-07 06:55:50","Assembly Line Tracker",IFP328,"Pool 13 Start"
"2017-03-07 06:58:17","Cab in white conveyer",YAP829,"CIW upload"
"2017-03-07 06:59:47","OMT Offline Tracking",CXD285,"Enter Offline"
"2017-03-07 06:59:54","Hood Conveyor",DKW659,"Hood Upload"
"2017-03-07 07:00:05","Paint Inspection",GPJ498,PAINT
"2017-03-07 07:00:24",U-BOLT,ZHB578,"Front U-Bolt"
"2017-03-07 07:00:50","Assembly Line Tracker",DKW659,"Pool 13 Start"
"2017-03-07 07:01:18","OMT Offline Tracking",ELI075,"Enter Offline"
"2017-03-07 07:01:19","STVMS Tracking Chassis Start",IFP328,"Chassis Start"
"2017-03-07 07:01:51","Cab Call Scan",BRL042,"B Line"
"2017-03-07 07:02:51","Cab call scan",ACM236,"A Line"
"2017-03-07 07:04:59","Hood Conveyor",JPU485,"Hood Upload"
"2017-03-07 07:05:43","Cab in white conveyer",ZIQ738,"CIW upload"
"2017-03-07 07:05:57",U-BOLT,PGY640,"Rear U-Bolt"
"2017-03-07 07:06:38",U-BOLT,PGY640,"Front U-Bolt"
"2017-03-07 07:06:46","Paint Inspection",UBJ603,PAINT
"2017-03-07 07:07:04","Cab Conveyer",IBA235,"Cab Upload 2"
"2017-03-07 07:07:04","Cab Conveyor / Monorail",IBA235,"Cab Upload"
"2017-03-07 07:07:05","STVMS Tracking Chassis Start",DKW659,"Chassis Start"
"2017-03-07 07:10:50","Cab Call Scan",TPG078,"B Line"
"2017-03-07 07:10:50","Assembly Line Tracker",JPU485,"Pool 13 Start"
"2017-03-07 07:12:07","Hood Conveyor",LEA891,"Hood Upload"
"2017-03-07 07:13:08","Cab in white conveyer",THO850,"CIW upload"
"2017-03-07 07:14:50",U-BOLT,FIX581,"Front U-Bolt"
"2017-03-07 07:14:56",U-BOLT,FIX581,"Rear U-Bolt"
"2017-03-07 07:14:56","Cab Conveyer",FHL057,"Cab Upload 2"
"2017-03-07 07:14:56","Cab Conveyor / Monorail",FHL057,"Cab Upload"
"2017-03-07 07:15:32","STVMS Tracking Chassis Start",JPU485,"Chassis Start"
"2017-03-07 07:15:51","Assembly Line Tracker",LEA891,"Pool 13 Start"
"2017-03-07 07:16:01","Hood Conveyor",SIW958,"Hood Upload"
"2017-03-07 07:18:39","OMT Offline Tracking",CVE258,"Enter Offline"
"2017-03-07 07:19:20","Cab in white conveyer",EZQ530,"CIW upload"
"2017-03-07 07:19:37",U-BOLT,UHP854,"Rear U-Bolt"
"2017-03-07 07:19:55","Hood Conveyor",OSR174,"Hood Upload"
"2017-03-07 07:20:36","OMT Offline Tracking",BEM390,"Enter Offline"
"2017-03-07 07:20:36","OMT Offline Tracking",BEM390,Sold
"2017-03-07 07:20:50","Assembly Line Tracker",SIW958,"Pool 13 Start"
"2017-03-07 07:22:45","Paint Inspection",JYL728,PAINT
"2017-03-07 07:22:58","Cab Conveyer",MBP046,"Cab Upload 2"
"2017-03-07 07:22:58","Cab Conveyor / Monorail",MBP046,"Cab Upload"
"2017-03-07 07:23:10","STVMS Tracking Chassis Start",LEA891,"Chassis Start"
"2017-03-07 07:23:16",U-BOLT,UHP854,"Front U-Bolt"
"2017-03-07 07:23:27","Cab Call Scan",EUL768,"B Line"
"2017-03-07 07:23:44",U-BOLT,UHP854,"Rear U-Bolt"
"2017-03-07 07:24:22","Hood Conveyor",USD901,"Hood Upload"
"2017-03-07 07:24:31","Cab in white conveyer",ARS065,"CIW upload"
"2017-03-07 07:25:27","Cab call scan",XPR275,"A Line"
"2017-03-07 07:25:51","Assembly Line Tracker",OSR174,"Pool 13 Start"
"2017-03-07 07:28:51","STVMS Tracking Chassis Start",SIW958,"Chassis Start"
"2017-03-07 07:28:52","Hood Conveyor",CQU695,"Hood Upload"
"2017-03-07 07:29:21","OMT Offline Tracking",SYB619,"Enter Offline"
"2017-03-07 07:29:35","OMT Offline Tracking",ETO603,"Enter Offline"
"2017-03-07 07:30:30",U-BOLT,CSM507,"Front U-Bolt"
"2017-03-07 07:30:55","Cab Conveyer",BRL042,"Cab Upload 2"
"2017-03-07 07:30:55","Cab Conveyor / Monorail",BRL042,"Cab Upload"
"2017-03-07 07:33:56",U-BOLT,MGF879,"Front U-Bolt"
"2017-03-07 07:35:16","STVMS Tracking Chassis Start",OSR174,"Chassis Start"
"2017-03-07 07:35:37","Cab Call Scan",YTP390,"B Line"
"2017-03-07 07:35:47",U-BOLT,MGF879,"Rear U-Bolt"
"2017-03-07 07:36:03","Hood Conveyor",WBH162,"Hood Upload"
"2017-03-07 07:36:59","STVMS Tracking Chassis Start",USD901,"Chassis Start"
"2017-03-07 07:37:35","Cab call scan",GYI954,"A Line"
"2017-03-07 07:39:00","Cab Conveyer",ACM236,"Cab Upload 2"
