TS_LOAD,SYS_DESC,VEH_SER,OPR_NAME
"2017-03-08 04:50:20","Cab in white conveyer",GJK683,"CIW upload"
"2017-03-08 04:55:09","Cab in white conveyer",HMS840,"CIW upload"
"2017-03-08 05:01:13","Cab in white conveyer",RBT219,"CIW upload"
"2017-03-08 05:06:45","Cab in white conveyer",YKN950,"CIW upload"
"2017-03-08 05:08:47","Paint Inspection",GQV369,PAINT
"2017-03-08 05:13:27","Cab in white conveyer",IXT460,"CIW upload"
"2017-03-08 05:15:55","Paint Inspection",QZB271,PAINT
"2017-03-08 05:22:13","Cab in white conveyer",DJZ516,"CIW upload"
"2017-03-08 05:36:07","Cab in white conveyer",YXF326,"CIW upload"
"2017-03-08 05:41:50","Cab in white conveyer",SPF970,"CIW upload"
"2017-03-08 05:45:14","Paint Inspection",NUX358,PAINT
"2017-03-08 05:48:03","Cab in white conveyer",JYZ708,"CIW upload"
"2017-03-08 05:54:19","Cab in white conveyer",YEK097,"CIW upload"
"2017-03-08 06:40:49","Cab Call Scan",YHB831,"B Line"
"2017-03-08 06:40:50","Assembly Line Tracker",XFN395,"Pool 13 Start"
"2017-03-08 06:41:10","OMT Offline Tracking",SVP127,"Enter Offline"
"2017-03-08 06:41:10","OMT Offline Tracking",SVP127,Sold
"2017-03-08 06:43:12","Cab Conveyer",JBQ468,"Cab Upload 2"
"2017-03-08 06:43:12","Cab Conveyor / Monorail",JBQ468,"Cab Upload"
"2017-03-08 06:43:13","OMT Offline Tracking",ELJ539,"Enter Offline"
"2017-03-08 06:43:55","Cab in white conveyer",RYJ284,"CIW upload"
"2017-03-08 06:43:57","Paint Inspection",DPL397,PAINT
"2017-03-08 06:46:16","Cab call scan",XLW275,"A Line"
"2017-03-08 06:48:29","Hood Conveyor",ZDI213,"Hood Upload"
"2017-03-08 06:49:04","Paint Inspection",ERC382,PAINT
"2017-03-08 06:50:43","Cab Conveyer",LVP764,"Cab Upload 2"
"2017-03-08 06:50:43","Cab Conveyor / Monorail",LVP764,"Cab Upload"
"2017-03-08 06:50:51","Assembly Line Tracker",TRL028,"Pool 13 Start"
"2017-03-08 06:50:54","Cab in white conveyer",EPR018,"CIW upload"
"2017-03-08 06:51:26","Paint Inspection",GDR742,PAINT
"2017-03-08 06:52:03",U-BOLT,RQJ940,"Front U-Bolt"
"2017-03-08 06:53:20","OMT Offline Tracking",IFP328,"Enter Offline"
"2017-03-08 06:53:21","Hood Conveyor",ALE837,"Hood Upload"
"2017-03-08 06:54:18","OMT Offline Tracking",DKW659,"Enter Offline"
"2017-03-08 06:54:55","Cab Conveyer",TPJ583,"Cab Upload 2"
